,Fare,Survived
489,15.9,1
490,19.9667,0
491,7.25,0
492,30.5,0
493,49.5042,0
494,8.05,0
495,14.4583,0
496,78.2667,1
497,15.1,0
498,151.55,0
499,7.7958,0
500,8.6625,0
501,7.75,0
502,7.6292,0
503,9.5875,0
504,86.5,1
505,108.9,0
506,26.0,1
507,26.55,1
508,22.525,0
509,56.4958,1
510,7.75,1
511,8.05,0
512,26.2875,1
513,59.4,1
514,7.4958,0
515,34.0208,0
516,10.5,1
517,24.15,0
518,26.0,1
519,7.8958,0
520,93.5,1
521,7.8958,0
522,7.225,0
523,57.9792,1
524,7.2292,0
525,7.75,0
526,10.5,1
527,221.7792,0
528,7.925,0
529,11.5,0
530,26.0,1
531,7.2292,0
532,7.2292,0
533,22.3583,1
534,8.6625,0
535,26.25,1
536,26.55,0
537,106.425,1
538,14.5,0
539,49.5,1
540,71.0,1
541,31.275,0
542,31.275,0
543,26.0,1
544,106.425,0
545,26.0,0
546,26.0,1
547,13.8625,1
548,20.525,0
549,36.75,1
550,110.8833,1
551,26.0,0
552,7.8292,0
553,7.225,1
554,7.775,1
555,26.55,0
556,39.6,1
557,227.525,0
558,79.65,1
559,17.4,1
560,7.75,0
561,7.8958,0
562,13.5,0
563,8.05,0
564,8.05,0
565,24.15,0
566,7.8958,0
567,21.075,0
568,7.2292,0
569,7.8542,1
570,10.5,1
571,51.4792,1
572,26.3875,1
573,7.75,1
574,8.05,0
575,14.5,0
576,13.0,1
577,55.9,1
578,14.4583,0
579,7.925,1
580,30.0,1
581,110.8833,1
582,26.0,0
583,40.125,0
584,8.7125,0
585,79.65,1
586,15.0,0
587,79.2,1
588,8.05,0
589,8.05,0
590,7.125,0
591,78.2667,1
592,7.25,0
593,7.75,0
594,26.0,0
595,24.15,0
596,33.0,1
597,0.0,0
598,7.225,0
599,56.9292,1
600,27.0,1
601,7.8958,0
602,42.4,0
603,8.05,0
604,26.55,1
605,15.55,0
606,7.8958,0
607,30.5,1
608,41.5792,1
609,153.4625,1
610,31.275,0
611,7.05,0
612,15.5,1
613,7.75,0
614,8.05,0
615,65.0,1
616,14.4,0
617,16.1,0
618,39.0,1
619,10.5,0
620,14.4542,0
621,52.5542,1
622,15.7417,1
623,7.8542,0
624,16.1,0
625,32.3208,0
626,12.35,0
627,77.9583,1
628,7.8958,0
629,7.7333,0
630,30.0,1
631,7.0542,0
632,30.5,1
633,0.0,0
634,27.9,0
635,13.0,1
636,7.925,0
637,26.25,0
638,39.6875,0
639,16.1,0
640,7.8542,0
641,69.3,1
642,27.9,0
643,56.4958,1
644,19.2583,1
645,76.7292,1
646,7.8958,0
647,35.5,1
648,7.55,0
649,7.55,1
650,7.8958,0
651,23.0,1
652,8.4333,0
653,7.8292,1
654,6.75,0
655,73.5,0
656,7.8958,0
657,15.5,0
658,13.0,0
659,113.275,0
660,133.65,1
661,7.225,0
662,25.5875,0
663,7.4958,0
664,7.925,1
665,73.5,0
666,13.0,0
667,7.775,0
668,8.05,0
669,52.0,1
670,39.0,1
671,52.0,0
672,10.5,0
673,13.0,1
674,0.0,0
675,7.775,0
676,8.05,0
677,9.8417,1
678,46.9,0
679,512.3292,1
680,8.1375,0
681,76.7292,1
682,9.225,0
683,46.9,0
684,39.0,0
685,41.5792,0
686,39.6875,0
687,10.1708,0
688,7.7958,0
689,211.3375,1
690,57.0,1
691,13.4167,1
692,56.4958,1
693,7.225,0
694,26.55,0
695,13.5,0
696,8.05,0
697,7.7333,1
698,110.8833,0
699,7.65,0
700,227.525,1
701,26.2875,1
702,14.4542,0
703,7.7417,0
704,7.8542,0
705,26.0,0
706,13.5,1
707,26.2875,1
708,151.55,1
709,15.2458,1
710,49.5042,1
711,26.55,0
712,52.0,1
713,9.4833,0
714,13.0,0
715,7.65,0
716,227.525,1
717,10.5,1
718,15.5,0
719,7.775,0
720,33.0,1
721,7.0542,0
722,13.0,0
723,13.0,0
724,53.1,1
725,8.6625,0
726,21.0,1
727,7.7375,1
728,26.0,0
729,7.925,0
730,211.3375,1
731,18.7875,0
732,0.0,0
733,13.0,0
734,13.0,0
735,16.1,0
736,34.375,0
737,512.3292,1
738,7.8958,0
739,7.8958,0
740,30.0,1
741,78.85,0
742,262.375,1
743,16.1,0
744,7.925,1
745,71.0,0
746,20.25,0
747,13.0,1
748,53.1,0
749,7.75,0
750,23.0,1
751,12.475,1
752,9.5,0
753,7.8958,0
754,65.0,1
755,14.5,1
756,7.7958,0
757,11.5,0
758,8.05,0
759,86.5,1
760,14.5,0
761,7.125,0
762,7.2292,1
763,120.0,1
764,7.775,0
765,77.9583,1
766,39.6,0
767,7.75,0
768,24.15,0
769,8.3625,0
770,9.5,0
771,7.8542,0
772,10.5,0
773,7.225,0
774,23.0,1
775,7.75,0
776,7.75,0
777,12.475,1
778,7.7375,0
779,211.3375,1
780,7.2292,1
781,57.0,1
782,30.0,0
783,23.45,0
784,7.05,0
785,7.25,0
786,7.4958,1
787,29.125,0
788,20.575,1
789,79.2,0
790,7.75,0
791,26.0,0
792,69.55,0
793,30.6958,0
794,7.8958,0
795,13.0,0
796,25.9292,1
797,8.6833,1
798,7.2292,0
799,24.15,0
800,13.0,0
801,26.25,1
802,120.0,1
803,8.5167,1
804,6.975,1
805,7.775,0
806,0.0,0
807,7.775,0
808,13.0,0
809,53.1,1
810,7.8875,0
811,24.15,0
812,10.5,0
813,31.275,0
814,8.05,0
815,0.0,0
816,7.925,0
817,37.0042,0
818,6.45,0
819,27.9,0
820,93.5,1
821,8.6625,1
822,0.0,0
823,12.475,1
824,39.6875,0
825,6.95,0
826,56.4958,0
827,37.0042,1
828,7.75,1
829,80.0,1
830,14.4542,1
831,18.75,1
832,7.2292,0
833,7.8542,0
834,8.3,0
835,83.1583,1
836,8.6625,0
837,8.05,0
838,56.4958,1
839,29.7,1
840,7.925,0
841,10.5,0
842,31.0,1
843,6.4375,0
844,8.6625,0
845,7.55,0
846,69.55,0
847,7.8958,0
848,33.0,0
849,89.1042,1
850,31.275,0
851,7.775,0
852,15.2458,0
853,39.4,1
854,26.0,0
855,9.35,1
856,164.8667,1
857,26.55,1
858,19.2583,1
859,7.2292,0
860,14.1083,0
861,11.5,0
862,25.9292,1
863,69.55,0
864,13.0,0
865,13.0,1
866,13.8583,1
867,50.4958,0
868,9.5,0
869,11.1333,1
870,7.8958,0
871,52.5542,1
872,5.0,0
873,9.0,0
874,24.0,1
875,7.225,1
876,9.8458,0
877,7.8958,0
878,7.8958,0
879,83.1583,1
880,26.0,1
881,7.8958,0
882,10.5167,0
883,10.5,0
884,7.05,0
885,29.125,0
886,13.0,0
887,30.0,1
888,23.45,0
889,30.0,1
890,7.75,0
